Geneid,WT1-BL_S30_L001,WT1-BL_S30_L002,WT2-BL_S31_L001,WT2-BL_S31_L002,WT3-BL_S32_L001,WT3-BL_S32_L002,atpA1-BL_S33_L001,atpA1-BL_S33_L002,atpA2-BL_S34_L001,atpA2-BL_S34_L002,atpA3-BL_S35_L001,atpA3-BL_S35_L002
b0001,8.826332518374345,8.82877521398361,8.894740196712165,8.886525979443395,7.597773182504251,7.590929107533763,8.89106759151526,8.722798951355411,8.978689241848391,8.977435367644086,8.94096559561883,8.822135885905924
b0002,9.397291972169263,9.422164003138203,9.450449048655216,9.43582120245026,8.145788293559542,8.155350364636709,8.80972470772226,8.836069388017922,9.056829461774493,9.054954050117818,8.97569412350511,8.985220536096401
b0003,8.876278989997129,8.882865012442595,9.062823011435569,9.033404074173184,8.038669914100023,8.06369097540438,8.225204306538966,8.26330904913959,8.356075208836561,8.352608794832534,8.280721163330655,8.296602203420132
b0004,8.584213839755833,8.56040826256561,8.724305948185913,8.714655972441422,8.085074181082357,8.134995777985113,8.113012723063514,8.128896657185525,8.28108471349611,8.267711739673985,8.18253014273305,8.17851630055306
b0005,6.200997119240984,6.15344867007345,6.330220048772515,6.302152175004394,6.16825342280138,6.10843643394433,5.560789288459695,5.636468232125466,5.585801177563647,5.527059530465307,5.492682453477718,5.402444798981677
b0006,6.026222222137506,5.9489518545769435,6.057845157603979,6.190614247326872,5.262820969364172,5.317316423808869,6.083330144494932,6.2064848212985115,6.227393966189693,6.139617002988612,6.027262529121619,6.183377128158149
b0007,4.377384686092438,4.417301726524907,4.680018526213735,4.664436925237868,2.965111200929833,2.9460653742795815,5.342520397832421,5.373899468355356,5.739364038882841,5.753087036907815,5.804106954443972,5.7271901404924686
b0008,9.864756156760235,9.865796338081426,9.88219384825481,9.880106128206615,9.268930401101967,9.264031562742304,10.187239482478972,10.170812659695825,10.36700072358463,10.395627048220167,10.326230977401465,10.321224297412593
b0009,6.554298155938431,6.595170447602075,6.780579276673483,6.830334864300421,6.488742261592815,6.47759590885741,6.5422588595062825,6.482888552096348,6.441448909381628,6.497373835815796,6.457902677913411,6.364097855584471
b0010,5.492644373120116,5.403159295699362,5.51246992520016,5.606874376248177,5.920744566566564,5.813587526420239,5.205750978828133,5.2535298866571,5.111172099993413,5.251836893134277,4.926880802987533,4.891121411099385
b0011,1.292542291804551,1.733418362732728,1.8682441884984164,1.7367050412296532,1.566156533010472,1.2137320803905802,0.9002697616499996,1.1327168842979574,1.098364608506598,0.9300376096671398,0.841510920790148,1.1364825709860125
b0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0013,1.2344730093954555,1.957760981736169,1.9164128290886084,1.6794846911966685,1.369972223444645,1.456542502796622,1.4148484326209754,1.8169069563993283,2.1060189794635997,1.7318503093528856,1.9879715839232366,2.0597767127982967
b0014,9.222427231015518,9.208771069484335,9.147655250783748,9.144963298436702,8.625645983851397,8.600765958600046,8.887472931456267,8.88528628720204,9.550692793683721,9.550985940730886,9.398621475720068,9.36954691319818
b0015,7.372630253426771,7.412802675837714,7.290303507658692,7.306137088591936,7.17248013790919,7.122220059400704,7.101650980222021,7.106827799459641,7.487440868163848,7.491800073910362,7.30190298835106,7.278716092885751
b0016,5.391339020425733,5.42393605675195,5.225070794584852,5.384698645468994,5.379412323708821,5.438700967899933,5.0101803088329655,5.085419563090169,5.228716181652121,5.244339420321211,4.935111974494462,5.043073409186673
b0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b4412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b4413,2.6228295634518752,3.2229980591878102,2.3248156116692438,2.331377791450022,1.5742312413612538,0.9984932022916309,2.748276507182956,2.759909746657325,3.5668511598669626,3.1647833534533882,3.2304626801555973,3.241870660620971
