Geneid,WT1-BL_S30_L001,WT1-BL_S30_L002,WT2-BL_S31_L001,WT2-BL_S31_L002,WT3-BL_S32_L001,WT3-BL_S32_L002,atpA1-BL_S33_L001,atpA1-BL_S33_L002,atpA2-BL_S34_L001,atpA2-BL_S34_L002,atpA3-BL_S35_L001,atpA3-BL_S35_L002
b0001,452.932042083211,453.7012670411861,474.9744085159977,472.2720717278661,192.71249203325033,191.79570572493006,473.7642823727449,421.49748736871567,503.4925805332174,503.0543067434197,490.4720612305802,451.61352508176344
b0002,673.3211191823118,685.0471886973569,698.6303422794173,691.5724563844218,282.22175832700765,284.10516486359495,447.7364941136826,456.0060290773737,531.57077856364,530.8789202583777,502.44631119227546,505.78167082366866
b0003,468.9224850984538,471.0726242420539,533.7878992507639,522.9931254537264,261.9545980825435,266.5548693876662,298.2493506787545,306.2584866880269,326.6644189049172,325.8780731752553,309.9893065068433,313.43155633107324
b0004,382.80078171573905,376.51973732970964,421.9390464040033,419.1195093392337,270.55002410125564,280.1109376633862,275.85998105692113,278.9250248699518,310.0676837501703,307.1975834599254,289.52734372496013,288.7201667526769
b0005,72.56752337517841,70.18239996667218,79.46112746242476,77.91087188385916,70.91662550866806,67.99579024666771,46.20243201396873,48.74460738277664,47.02791178360466,45.11165464601758,44.02587643263336,41.2958672589385
b0006,64.17389091881901,60.77502800954453,65.61823182849405,72.03996897130983,37.394319413345094,38.87234147098071,66.80548816602982,72.84789132413057,73.92597078686231,69.50320821224219,64.22090383768081,71.67448955270417
b0007,19.783758771135144,20.366841065633036,24.634565264276574,24.359192906987253,6.808855958784468,6.706444354050014,39.57503397917813,40.467221223437214,52.422072419790126,52.93265071382682,54.87406791261726,51.973177387209454
b0008,931.3683080836977,932.0407868674662,942.7061195721275,941.3414726538904,615.9160631220213,613.8248056323446,1164.9090066472777,1151.7090181429123,1319.620951029752,1346.086752578655,1282.8233383082372,1278.3757231832838
b0009,92.98106138447065,95.68166728344168,108.94051075570042,112.79827386941653,88.8061451070656,88.11497064154358,92.20005231024422,88.44249651660098,85.9099174189778,89.34506145051093,86.90678867674013,81.37289885334675
b0010,44.02468797713944,41.31681953368775,44.64768923416825,47.73459588428389,59.57894576767008,55.242449607593976,35.9051686728383,37.14785111654743,33.563372755084515,37.103111110279286,29.418577919978425,28.67387460836593
b0011,1.449593384613128,2.3251475559717747,2.650879844579533,2.3327313825803895,1.9611478643426907,1.3193685443653582,0.8664149411629003,1.192712835119844,1.141118447690407,0.9053256654414188,0.7919258263603365,1.198443675581858
b0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0013,1.3529538256389195,2.884586350645917,2.774833022497373,2.2031351946592563,1.5846558977929521,1.7444984086608626,1.6663172201759213,2.523250264520203,3.305017133681105,2.321535443771665,2.9667887902351127,3.1692177198720244
b0014,596.3477461038026,590.7200906580339,566.1770121885854,565.1196924666815,393.98278995383674,387.2295059224675,472.5828186586957,471.865568833338,748.9719323794844,749.1243376966366,673.9428205887443,660.476875986475
b0015,164.72302545577298,169.40249815199095,155.5308823401466,157.25827079119523,143.2552623108485,138.31628132064725,136.34408607261733,136.83780280667253,178.45034271096986,178.993384700283,156.79448667256767,154.27869550119715
b0016,40.971526229254074,41.930648378342156,36.402707299680024,40.778785395485485,40.6259797369732,42.372267614677085,31.22660504925362,32.95188013908459,36.49733558030828,36.90560851609049,29.59262451144616,31.96980408792736
b0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b4412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b4413,5.159569674046727,8.337252253427984,4.01001739201226,4.0328576444610125,1.9777677614981373,0.99791222529329,5.719139611620747,5.773538740851312,10.850295748378278,7.967981819724782,8.385689152857971,8.460199845421082
b0019,57.96137661766734,60.85497587937553,66.34482716420284,63.91923857821175,40.895898759821385,40.20979140528396,158.5464424466871,159.8112555067262,211.49413039366397,202.47601102503083,203.01395181569532,212.63902953382993
b0020,40.72301415582046,39.63415613191426,45.04630464371388,41.03521678794145,23.698285671990927,24.95441432256598,74.30147108011258,71.37372643928421,92.11319707879717,89.31329290561541,88.38823128367972,87.67819221698929
b0021,14.979131641002322,17.079787602508716,16.195219050478087,15.815363361661092,10.765884630297897,10.63053717777713,16.960728848219198,15.31973374887266,19.168072972513862,16.439891061083944,18.090555595918936,16.977952070742987
b0022,24.264932742437143,22.500763667652787,17.358580721400898,18.96612037141447,27.480939729512162,27.73183611594034,34.435713204994244,41.75704921447836,40.274039126638606,45.13746222876701,43.534400726276104,43.66286369497599
b0023,2721.9739779573015,2770.884996914266,2683.1573190507493,2682.442277633705,3878.1179016049045,3830.7846944617713,1781.5155995877994,1786.2031275941595,1376.2277496798931,1404.545431659725,1354.4203917933983,1371.3169060048522
b0024,86.45930954254192,91.24818034216986,81.83456725685294,82.57229989846199,121.21729579319064,114.2586714576678,76.26825221798353,64.55027217796547,52.8822425826938,56.08058437159035,55.188009043172904,53.72475244303603
b0025,158.15340818495713,158.35247665102986,175.37121443140242,172.32867361791722,122.13870674882446,122.00377405793803,190.20692663743776,178.8172818829166,194.79327998297296,209.1669240247737,200.03314977398264,197.49575711336254
b0026,372.51616835003864,372.6340369968419,361.8574497960968,367.0226148725802,302.0764688117802,300.2989592928028,503.76815575781785,503.11836743995485,543.0690849685212,548.692213456205,509.08222231237914,507.6064132315791
b0027,191.50446422907254,190.67253796255187,197.9956213612599,192.15344597782644,194.9519644177346,182.33973139616606,234.04182774289077,248.6548442490818,247.01410664338346,248.58896007568637,217.03567192736008,233.22561311240034
b0028,131.77770261723077,139.23442853565106,150.10386213277894,146.20005151758826,151.04651898508274,144.70614299841856,148.2189167346482,145.33921523636369,133.46521364187,140.51093273428,123.13918649352325,127.24409145286178
